Período,Região,Nº Receitas Eletrónicas Dispensadas,Nº Receitas Manuais Dispensadas,Valor Comparticipado pelo SNS
2016-05,Região de Saúde do Norte,2206954,102678,36974267.82
2016-06,Região de Saúde do Norte,2058972,92814,35204858.32
2016-07,Região de Saúde do Centro,1057812,51404,20068698.0
2016-09,Região de Saúde do Centro,1013574,55225,20372770.42
2017-01,Região de Saúde do Algarve,215955,12652,4061569.07
2017-02,Região de Saúde do Algarve,194651,11954,3716604.19
2017-02,Região de Saúde do Norte,1843678,92135,34032068.18
2017-03,Região de Saúde do Centro,1135026,48202,22634086.29
2017-03,Região de Saúde do Norte,2139603,101869,39885078.96
2017-04,Região de Saúde LVT,1841763,111519,35393611.53
2017-04,Região de Saúde do Algarve,199534,12455,3843629.87
2017-05,Região de Saúde do Norte,2005450,113585,38544372.73
2017-05,Região de Saúde do Algarve,216506,13137,4257843.19
2017-06,Região de Saúde do Alentejo,298667,16751,5892839.11
2017-06,Região de Saúde LVT,1865703,125253,38176867.65
2017-07,Região de Saúde do Centro,1027640,46973,21390382.64
2017-07,Região de Saúde do Norte,1960304,94252,38235287.21
2017-08,Região de Saúde LVT,1740732,94444,35475655.87
2017-08,Região de Saúde do Centro,1008061,44150,20940037.48
2017-08,Região de Saúde do Norte,1870655,86993,36351213.28
2017-09,Região de Saúde do Alentejo,297962,13862,5816687.55
2017-10,Região de Saúde do Centro,1074104,51440,21753624.19
2017-10,Região de Saúde do Alentejo,314645,17166,5982564.09
2017-11,Região de Saúde LVT,2011184,135771,39511690.02
2017-11,Região de Saúde do Algarve,211060,14563,4256478.14
2018-02,Região de Saúde do Norte,1946101,91621,36217487.92
2018-02,Região de Saúde do Algarve,207437,11386,3932105.37
2018-04,Região de Saúde do Alentejo,310026,13665,5800695.3
2018-05,ARS Alentejo,325806,14836,6115139.16
2018-07,ARS LVT,2056685,105018,42092815.66
2018-08,ARS Norte,1941683,84540,37787524.15
2018-09,ARS Centro,1006318,39010,21134611.86
2018-09,ARS LVT,1852575,96502,37385258.6
2018-09,ARS Norte,1926825,83055,37799212.27
2019-02,ARS Lisboa e Vale do Tejo,2009438,112833,39634056.18
2019-03,ARS Alentejo,324193,13911,6184768.17
2019-03,ARS Lisboa e Vale do Tejo,2091679,111531,41478649.3
2019-05,ARS Norte,2205933,93544,43524462.0
2019-07,ARS Alentejo,338616,10801,6799649.11
2019-08,ARS Lisboa e Vale do Tejo,1863593,68910,38855989.69
2019-11,ARS Alentejo,321019,12007,6400987.29
2019-11,ARS Lisboa e Vale do Tejo,2114939,100807,42986699.28
2020-02,ARS Alentejo,315975,11425,6256867.43
2020-02,ARS Algarve,231781,9452,4676412.95
2020-03,ARS Alentejo,366564,9814,8340425.71
2020-03,ARS Algarve,257581,8946,6231771.08
2020-03,ARS Centro,1226017,29417,29982309.22
2020-04,ARS Centro,881667,14224,22054984.02
2020-05,ARS Algarve,182831,6149,4294090.77
2020-05,ARS Norte,1691465,44486,38671351.26
2020-07,ARS Algarve,224027,7908,5103665.45
2020-10,ARS Algarve,224329,7743,4911907.84
2021-01,ARS Alentejo,279650,7746,6420676.8
2021-02,ARS Alentejo,264303,7497,6023567.5
2021-02,ARS Centro,931394,19023,22243508.67
2021-02,ARS Lisboa e Vale do Tejo,1702700,48503,40086128.92
2021-03,ARS Centro,1075537,22669,25154296.18
