Período,Região,Encargos SNS (Ambulatório),Encargos Utentes (Ambulatório),Valor PVP (Ambulatório),Encargos SNS (Genéricos) 
2016-01,Alentejo,4423479.43,2584276.200000001,7007755.630000001,1020181.15
2016-02,Norte,29816361.64,17389933.559999995,47206295.199999996,6738856.76
2016-04,Norte,31019740.3,17757306.830000002,48777047.13,7047600.27
2016-06,Algarve,3820170.88,2285965.16,6106136.04,693605.92
2016-07,Centro,24971155.11,13944645.510000005,38915800.620000005,5137099.72
2016-07,Alentejo,4530679.06,2518497.4400000004,7049176.5,1039664.2
2016-10,Lisboa,35086832.76,21909961.299999997,56996794.059999995,7501910.94
2016-10,Alentejo,4646467.54,2632058.83,7278526.37,1057505.21
2016-11,Lisboa,35355592.79,21910588.1,57266180.89,7550306.34
2016-11,Algarve,3847514.29,2329834.8899999997,6177349.18,683593.24
2016-12,Centro,25911138.4,14625210.509999998,40536348.91,5254732.68
2016-12,Alentejo,4671101.7,2619748.88,7290850.58,1052048.99
2017-01,Norte,32556713.900000002,18818934.179999996,51375648.08,7229627.62
2017-02,Norte,29024312.669999998,16475678.09,45499990.76,6436632.2
2017-03,Centro,28112403.28,15257538.54,43369941.82,5693092.98
2017-03,Lisboa,38166587.76,22886603.35,61053191.11,8188969.2
2017-04,Lisboa,32735534.75,19890138.949999996,52625673.699999996,7266259.7
2017-05,Norte,32504097.11,18278040.330000006,50782137.440000005,7504047.3
2017-06,Centro,25880733.92000003,13996982.420000024,39877716.340000056,5442815.749999994
2017-07,Alentejo,4698493.779999984,2606149.550000013,7304643.329999997,1094514.5300000007
2017-11,Centro,27001713.429999992,15045350.910000198,42047064.34000019,5589886.199999973
2018-01,Lisboa,37254033.460000105,22790144.409999892,60044177.87,8312846.399999948
2018-05,Algarve,4073553.630000001,2406076.7099999953,6479630.339999996,775424.070000002
2018-06,Norte,32474935.260000058,17921306.17000024,50396241.4300003,7439036.2599999895
2018-08,Lisboa,32652260.76999983,18882510.47000036,51534771.24000019,7371800.620000015
2018-08,Algarve,4211667.240000001,2531129.7400000086,6742796.98000001,801962.8199999996
2018-09,Centro,25823247.059999887,13741046.030000549,39564293.090000436,5517034.429999966
2018-10,Alentejo,5806909.849999985,3209792.38999998,9016702.239999965,1408998.8700000022
2018-11,Norte,38537225.35999984,21618559.660000302,60155785.020000145,8819186.820000019
2018-12,Norte,37654142.09999999,20802363.430000074,58456505.53000006,8557387.299999993
2018-12,Alentejo,5538906.819999989,2998669.1500000264,8537575.970000016,1338238.0200000068
2019-03,Alentejo,4920256.990000007,2659311.8100000042,7579568.800000011,1180943.839999999
2019-04,Alentejo,4826315.759999982,2589435.2000000244,7415750.9600000065,1148845.7000000004
2019-10,Norte,37852862.51000019,20610465.940000184,58463328.450000376,8333368.619999991
2019-11,Lisboa,38707217.42,22623504.960000083,61330722.380000085,8404091.690000016
2019-12,Centro,29391674.18999985,15243159.690000199,44634833.88000005,6020206.339999967
2019-12,Lisboa,39468324.02999998,22865853.67000003,62334177.70000001,8594602.819999946
2020-01,Alentejo,5409851.069999994,2824577.739999977,8234428.809999971,1264001.300000005
2020-01,Algarve,4590919.74,2634579.6199999843,7225499.3599999845,851216.6099999995
2020-03,Algarve,5757936.689999972,3115591.530000031,8873528.220000003,1035940.1499999994
2020-05,Alentejo,4608600.000000008,2357759.5299999556,6966359.529999964,1086870.720000003
2020-05,Algarve,3935706.149999996,2176107.4799999907,6111813.629999987,736944.3599999988
2020-06,Norte,33202403.350000095,17282785.270000193,50485188.62000029,7289935.7
2020-07,Norte,37149380.20000016,19338281.04000029,56487661.24000045,8779389.410000024
2020-07,Algarve,4688209.369999999,2658753.3500000127,7346962.720000012,995997.1500000032
2020-09,Lisboa,36663037.51000001,20944578.990000285,57607616.5000003,7875662.149999983
2020-10,Centro,30266046.47999986,16137957.650000121,46404004.12999998,6163502.899999982
2020-11,Algarve,4481512.900000003,2610252.9500000123,7091765.850000015,848226.4100000003
2020-12,Lisboa,39023293.89,22028096.15,61051390.04,8496337.46
2021-01,Norte,37074370.38,19556571.28,56630941.66,8116451.61
2021-01,Lisboa,39821715.25,22492950.64,62314665.89,8610521.51
2021-02,Algarve,4192414.0,2352969.0,6545383.0,803540.0
2021-03,Lisboa,41040376.74,23086418.75,64126795.49,8940576.77
2021-05,Lisboa,39619316.51,22316354.58,61935671.09,8605065.9
2021-07,Algarve,5040566.43,2842898.61,7883465.04,956486.41
2021-08,Algarve,4954357.64,2790064.93,7744422.57,934671.86
2021-10,Algarve,4874149.88,2725077.0,7599226.88,902716.44
2021-12,Algarve,4953008.33,2709329.7,7662338.03,925446.67
2022-01,Norte,40314142.6,20768991.02,61083133.62,8609053.63
2022-01,Centro,31651366.73,15848931.17,47500297.9,6409957.45
2011-03,Norte,35500011.35,19483608.83999999,54983620.18999999,8392089.8
2011-04,Algarve,3882386.56,2486730.9899999998,6369117.55,759556.5399999999
2011-04,Norte,31589015.009999994,18185177.310000014,49774192.32000001,6942394.649999999
2011-05,Lisboa,40573006.129999995,25851533.580000006,66424539.71,8604876.76
2011-07,Algarve,4669835.130000001,3203847.749999997,7873682.879999998,830359.1400000001
2011-07,Centro,29863093.58,18117322.919999994,47980416.49999999,5756534.8100000005
2011-09,Lisboa,36859931.13,23718024.89,60577956.02,7573919.460000001
2011-10,Alentejo,5455740.119999999,3497792.17,8953532.29,1141781.97
2011-11,Algarve,4049337.79,2717837.7299999995,6767175.52,716813.57
2012-01,Norte,32622841.569999997,20088744.360000003,52711585.93,6645796.750000002
2012-03,Algarve,4129204.25,2679532.2600000007,6808736.510000001,738698.05
2012-05,Lisboa,35994558.85,21938992.300000012,57933551.15000001,6777467.5600000005
2012-06,Alentejo,4474907.5600000005,2612221.62,7087129.180000001,938173.1600000001
2012-06,Lisboa,31850208.810000002,19391107.239999995,51241316.05,6121991.330000001
2012-06,Norte,28457016.5,16283820.82,44740837.32,5815081.750000002
2012-07,Alentejo,4518257.999999999,2656027.500000002,7174285.500000001,893366.53
2012-08,Centro,25447081.180000003,12942668.91999999,38389750.099999994,4621799.210000001
2012-09,Alentejo,4370046.74,2357647.92,6727694.66,896738.0000000001
2012-09,Algarve,3529590.230000001,2033982.8499999992,5563573.08,591638.0399999998
2012-10,Alentejo,4820760.55,2707415.9799999995,7528176.529999999,962959.94
2012-11,Centro,24328218.899999995,13232575.640000004,37560794.54,4631452.08
2012-12,Algarve,3538783.1999999997,2061417.2800000007,5600200.48,617688.1900000002
2013-01,Centro,24362338.8,14324525.709999997,38686864.51,4845037.87
2013-02,Algarve,3225271.5100000002,2007909.3599999999,5233180.87,605799.63
2013-03,Norte,27815018.23,15676593.819999997,43491612.05,6124786.76
2013-04,Alentejo,4751549.3500000015,2843959.499999998,7595508.85,1053228.5299999998
2013-05,Norte,31767023.310000002,18327473.53,50094496.84,6928861.149999999
2013-06,Alentejo,4421614.600000001,2491653.2199999997,6913267.82,1000897.0700000001
2013-07,Lisboa,36508151.89999999,22318893.240000017,58827045.14000001,7693157.76
2013-08,Alentejo,4495450.01,2526870.7,7022320.71,1033707.8199999998
2013-10,Centro,26786577.930000003,15898087.250000004,42684665.18000001,5348242.63
2013-11,Centro,25405888.81,14817114.779999997,40223003.589999996,5163046.68
2014-03,Centro,25171544.700000003,14267632.770000003,39439177.470000006,5288564.069999998
2014-06,Norte,28168686.34,16255771.039999995,44424457.379999995,6376301.25
2014-07,Norte,31126489.67000001,18320362.259999983,49446851.92999999,7099210.039999999
2014-08,Algarve,3736060.7899999996,2385355.3700000015,6121416.160000001,700993.9400000002
2014-08,Lisboa,29433649.77,18219586.589999992,47653236.35999999,6509235.3
2014-11,Lisboa,33411583.089999996,21137651.760000013,54549234.85000001,7220773.1899999995
2014-11,Norte,29745262.07,17416496.620000012,47161758.69000001,6733223.459999999
2015-01,Centro,26096856.52,15462647.430000003,41559503.95,5359674.8
2015-02,Norte,28922107.51,16993041.01,45915148.52,6445442.25
2015-03,Norte,30997066.970000003,17955628.929999996,48952695.9,6905108.28
2015-04,Norte,30345047.49,17671428.06,48016475.55,6695502.91
2015-05,Lisboa,33928919.120000005,21529023.589999996,55457942.71,7440007.09
2015-07,Algarve,4049590.84,2531863.0200000005,6581453.86,754253.79
2015-09,Centro,25072971.189999998,14518655.14,39591626.33,5247768.86
2015-09,Algarve,3822008.25,2349267.2699999996,6171275.52,713068.58
2015-10,Norte,32378288.61,19366577.9,51744866.51,7250365.61
2015-10,Algarve,3827939.14,2383286.3400000003,6211225.48,709375.85
2015-12,Centro,26137091.59,14919200.059999999,41056291.65,5412035.55
2016-01,Norte,30450538.33,17976892.810000002,48427431.14,6821913.72
2016-02,Lisboa,33847730.65,21080457.500000007,54928188.150000006,7449694.35
2016-02,Alentejo,4495418.67,2604887.67,7100306.34,1045871.26
2016-02,Algarve,3650010.36,2239605.2499999995,5889615.609999999,674355.36
2016-03,Centro,26077995.5,14749086.509999998,40827082.01,5447117.16
2016-03,Algarve,3962385.43,2394721.18,6357106.61,740964.1
2016-04,Lisboa,34586152.629999995,21179113.320000008,55765265.95,7583088.77
2016-04,Alentejo,4639849.29,2613519.62,7253368.91,1081249.77
2016-04,Algarve,3773611.77,2270097.2899999996,6043709.06,696990.77
2016-06,Norte,29874437.8,16847090.3,46721528.1,6731695.87
2016-06,Alentejo,4578941.13,2558359.55,7137300.68,1059396.94
2016-08,Alentejo,4561008.0,2502023.2299999995,7063031.2299999995,1044987.06
2016-09,Norte,30416864.89,17256093.79,47672958.68,6853128.93
2016-12,Norte,31499692.15,18162887.96,49662580.11,6945859.92
2017-01,Centro,26642990.380000003,14963469.86,41606460.24,5442337.21
2017-01,Alentejo,4841617.55,2707942.12,7549559.67,1093201.24
2017-02,Centro,23840429.3,13072973.809999999,36913403.11,4830678.62
2017-02,Alentejo,4341459.45,2409751.5199999996,6751210.97,973493.51
2017-07,Lisboa,36158632.00999997,21621048.240000136,57779680.250000104,8035709.5900000045
2017-08,Norte,30461545.32000009,16747063.609999903,47208608.92999999,6959675.980000001
2017-09,Centro,25840542.45000004,13975153.309999973,39815695.76000001,5433996.260000013
2017-09,Lisboa,34002364.71999994,20229788.38999998,54232153.10999992,7609938.930000007
2017-09,Alentejo,4631695.029999991,2534618.9200000428,7166313.950000034,1096619.6399999994
2017-10,Alentejo,4784080.100000012,2730139.0299999835,7514219.129999995,1117638.3799999997
2017-10,Algarve,3886309.5500000045,2399771.8499999773,6286081.399999982,716598.48
2017-11,Lisboa,35830621.19000011,22199290.80000016,58029911.99000027,7867446.329999999
2017-12,Norte,31342692.7399999,18071598.150001,49414290.8900009,7082768.069999912
2017-12,Lisboa,34711671.74999994,21302991.330000058,56014663.08,7651396.3799999785
2017-12,Alentejo,4515817.479999982,2528072.750000015,7043890.229999997,1063679.8300000066
2018-02,Lisboa,34314647.76,20642143.25,54956791.01,7728771.65
2018-03,Centro,27278279.249999918,14632491.879999906,41910771.129999824,5774591.679999959
2018-03,Lisboa,36902130.669999816,21940500.26000016,58842630.92999998,8288550.030000001
2018-03,Alentejo,4888973.519999987,2665596.100000009,7554569.619999996,1179438.86
2018-04,Norte,35909478.16,20002548.96,55912027.12,8217186.21
2018-04,Centro,20048754.27,10723109.61,30771863.88,4145259.54
2018-05,Norte,32998869.059999723,18357634.460000526,51356503.52000025,7554216.169999983
2018-05,Centro,27036052.66999997,14542919.080000121,41578971.75000009,5722327.930000014
2018-07,Norte,33808831.67999976,18728280.02000113,52537111.70000089,7726029.479999977
2018-08,Norte,31453889.669999823,17142403.110000223,48596292.780000046,7201782.670000007
2018-10,Norte,39820278.18999984,22357081.65000035,62177359.84000019,9088483.090000022
2018-12,Lisboa,37972081.769999936,22516705.889999926,60488787.65999986,8562896.339999989
2019-02,Centro,20337488.040000055,10707923.130000092,31045411.170000147,4169665.500000003
2019-02,Lisboa,36824123.33000005,21741278.039999984,58565401.370000035,8145986.979999985
2019-03,Norte,34321524.75999995,18830622.970000207,53152147.73000016,7727026.150000007
2019-05,Lisboa,40387212.07999987,23457872.74000018,63845084.82000005,8965070.950000012
2019-06,Algarve,4033021.4400000167,2328257.119999984,6361278.5600000005,764455.2400000019
2019-07,Centro,30590997.68999962,15807138.50000089,46398136.19000051,6375529.33999999
2019-07,Algarve,4695281.889999996,2742113.1400000136,7437395.03000001,883092.6500000003
2019-09,Centro,27509597.76999992,14239269.350000165,41748867.12000009,5697141.589999954
2019-09,Alentejo,4850259.519999994,2543292.9399999874,7393552.459999981,1144015.3299999991
2019-09,Algarve,4195329.410000016,2420010.1799999923,6615339.590000008,790778.5699999994
2019-12,Algarve,4360699.179999991,2490447.7599999895,6851146.939999981,805257.4199999983
2020-01,Centro,30818488.67999981,15946384.210000556,46764872.890000366,6319849.510000022
2020-01,Lisboa,40924197.87999983,23684235.78000067,64608433.6600005,8844000.569999985
2020-02,Centro,28269879.510000035,14610737.160000615,42880616.67000065,5762685.330000054
2020-02,Lisboa,38444536.42999978,22152753.37000048,60597289.800000265,8254485.459999967
2020-03,Norte,45127120.66000039,22950500.580000006,68077621.2400004,9600194.869999968
2020-03,Lisboa,50346723.66999992,27523384.559999652,77870108.22999957,10581823.989999998
2020-06,Alentejo,4853826.520000025,2509147.4599999376,7362973.979999962,1141606.9600000025
2020-07,Centro,30297701.199999824,15333871.2700006,45631572.47000042,6808744.230000026
2020-07,Alentejo,5306305.15999998,2723324.799999971,8029629.959999951,1307271.230000003
2020-09,Norte,34944215.98999978,18740789.26000063,53685005.25000041,7632430.340000001
2020-09,Alentejo,4999279.789999998,2604320.849999983,7603600.639999981,1160126.5400000033
2020-11,Centro,29795886.319999844,15713208.09000054,45509094.410000384,6082246.240000002
