periodo;regiao;encargos_sns_ambulatorio;encargos_utentes_ambulatorio;valor_pvp_ambulatorio;encargos_sns_genericos ;encargos_sns_hospitalar
2020-03;Algarve;5757936,69;3115591,53;8873528,22;1035940,15;4632813,38
2020-05;Alentejo;4608600,00;2357759,53;6966359,53;1086870,72;2827419,91
2020-05;Algarve;3935706,15;2176107,48;6111813,63;736944,36;2885472,94
2020-06;Norte;33202403,35;17282785,27;50485188,62;7289935,70;38027437,90
2020-07;Norte;37149380,20;19338281,04;56487661,24;8779389,41;43897830,13
2020-07;Algarve;4688209,37;2658753,35;7346962,72;995997,15;2735356,07
2020-09;Lisboa;36663037,51;20944578,99;57607616,50;7875662,15;0,00
2020-10;Centro;30266046,48;16137957,65;46404004,13;6163502,90;21413262,49
2020-11;Algarve;4481512,90;2610252,95;7091765,85;848226,41;1921814,60
2020-12;Lisboa;39023293,89;22028096,15;61051390,04;8496337,46;0,00
2021-01;Norte;37074370,38;19556571,28;56630941,66;8116451,61;44390028,82
2021-01;Lisboa;39821715,25;22492950,64;62314665,89;8610521,51;0,00
2021-02;Algarve;4192414,00;2352969,00;6545383,00;803540,00;2925348,05
2021-03;Lisboa;41040376,74;23086418,75;64126795,49;8940576,77;0,00
2021-05;Lisboa;39619316,51;22316354,58;61935671,09;8605065,90;0,00
2021-07;Algarve;5040566,43;2842898,61;7883465,04;956486,41;3786990,03
2021-08;Algarve;4954357,64;2790064,93;7744422,57;934671,86;3212873,56
2021-10;Algarve;4874149,88;2725077,00;7599226,88;902716,44;2443773,77
2021-12;Algarve;4953008,33;2709329,70;7662338,03;925446,67;2014038,57
2022-01;Norte;40314142,60;20768991,02;61083133,62;8609053,63;50657443,86
2022-01;Centro;31651366,73;15848931,17;47500297,90;6409957,45;22970877,02
2011-03;Norte;35500011,35;19483608,84;54983620,19;8392089,80;28726795,42
2011-04;Algarve;3882386,56;2486730,99;6369117,55;759556,54;2998329,86
2011-04;Norte;31589015,01;18185177,31;49774192,32;6942394,65;25400964,56
2011-05;Lisboa;40573006,13;25851533,58;66424539,71;8604876,76;42187383,11
2011-07;Algarve;4669835,13;3203847,75;7873682,88;830359,14;3313197,38
2011-07;Centro;29863093,58;18117322,92;47980416,50;5756534,81;13959358,04
2011-09;Lisboa;36859931,13;23718024,89;60577956,02;7573919,46;39804256,88
2011-10;Alentejo;5455740,12;3497792,17;8953532,29;1141781,97;2745589,55
2011-11;Algarve;4049337,79;2717837,73;6767175,52;716813,57;2900624,76
2012-01;Norte;32622841,57;20088744,36;52711585,93;6645796,75;26825543,31
2012-03;Algarve;4129204,25;2679532,26;6808736,51;738698,05;2945164,75
2012-05;Lisboa;35994558,85;21938992,30;57933551,15;6777467,56;41921676,43
2012-06;Alentejo;4474907,56;2612221,62;7087129,18;938173,16;2576585,41
2012-06;Lisboa;31850208,81;19391107,24;51241316,05;6121991,33;37669723,04
