Período,Região,Valor PVP (Ambulatório),Nº Embalagens (Ambulatório),Preço Médio por Embalagem (Ambulatório),Valor PVP (Genéricos),Nº Embalagens (Genéricos),Preço Médio por Embalagem (Genéricos)
2013-06,Norte,43912426.7,3613241,12.153196174846904,10477689.01,1459949,7.176750016610169
2013-09,Lisboa,52475750.56,4101174,12.795299726371034,12060801.979999999,1599684,7.539490286831648
2013-10,Algarve,6398487.17,461236,13.872479966871623,1321512.73,165255,7.996809355238873
2013-10,Lisboa,60129185.010000005,4815151,12.487497278901534,13733265.629999997,1850959,7.419540697551916
2013-10,Norte,51679637.06,4342061,11.902098349148021,12377303.83,1707820,7.247428786406061
2013-11,Algarve,6176896.85,442743,13.951427464691704,1276862.0899999999,159457,8.007563731915186
2013-11,Centro,40223003.589999996,3208196,12.537576753415314,9051442.29,1224322,7.393024294262457
2014-01,Alentejo,7824187.63,644804,12.134210752414686,2009701.46,272396,7.377867002452312
2014-01,Norte,50919320.81,4360384,11.677714809062689,12696672.15,1794358,7.07588572068673
2014-02,Centro,37501725.18000001,3060229,12.25454865632605,8605974.830000002,1185872,7.257085781602063
2014-03,Norte,47890260.190000005,4045632,11.837522589795613,12000363.339999998,1685722,7.118827030791553
2014-04,Algarve,5820872.47,424401,13.715501306547345,1242994.6099999996,158862,7.82436712366708
2014-05,Centro,40538296.830000006,3265614,12.413682949056442,9480294.25,1296265,7.313546419906423
2014-06,Lisboa,52963478.53999999,4255604,12.445584349483644,12827088.350000001,1739270,7.3749839587873085
2014-07,Alentejo,7664923.86,622871,12.305796641680221,1980685.7200000004,268032,7.3897360016714435
2014-07,Centro,41153224.28999999,3303139,12.458823043777446,9592521.6,1316136,7.288396943780886
2014-08,Centro,36579924.1,2925714,12.502904966104001,8518551.160000002,1173937,7.256395496521535
2014-12,Centro,40646284.6,3264172,12.452249636354948,9408314.610000001,1317082,7.143302095085956
2015-01,Algarve,6200593.68,466541,13.290565416544311,1334502.74,179479,7.4354255372494835
2015-01,Norte,50427075.980000004,4409450,11.436137382213202,12919592.730000004,1896156,6.813570576471558
2015-02,Algarve,5717793.5,430710,13.27527454667874,1220519.26,164977,7.398117677009522
2015-02,Centro,37682488.31,3091062,12.190790191202895,8778470.639999999,1247474,7.036996875285576
2015-02,Norte,45914473.37,3971280,11.561630852017485,11641032.49,1691611,6.881624965787052
2015-03,Algarve,6186704.49,458424,13.49559466781844,1308654.8299999996,174095,7.516900715126797
2015-04,Norte,48016312.48000001,4050870,11.85333335308218,12164734.350000003,1735138,7.010816632452291
2015-06,Algarve,6059679.89,444593,13.629724017247234,1278117.31,166695,7.667400401931672
2015-07,Algarve,6581453.860000002,486281,13.534260766922833,1393345.9100000001,181266,7.686747156113117
2015-08,Algarve,6287252.2299999995,465288,13.512603441309468,1324220.5599999998,173079,7.650960312920688
2015-09,Algarve,6171275.519999999,453653,13.603515285912357,1311797.6899999997,170397,7.698478787772084
2015-12,Lisboa,58434694.14,4693068,12.45127795719133,14186207.729999999,1935570,7.329214510454284
2016-01,Algarve,6011064.61,445282,13.499455648330722,1275509.87,166331,7.668503586222653
2016-02,Centro,38592554.0,3156099,12.227928845071084,9206963.76,1277265,7.208342638371834
2016-02,Algarve,5889615.609999999,440743,13.362924901813527,1255947.23,163882,7.6637289635225345
2016-03,Norte,49920329.19,4334456,11.517092154124992,12936487.12,1846098,7.007475832810608
2016-03,Algarve,6357106.61,477302,13.31883505621179,1374384.62,178782,7.687488785224464
2016-06,Lisboa,54535294.699999996,4440763,12.280613646798983,13415863.47,1823574,7.356906530801602
2016-08,Norte,45790792.74,3892466,11.763954454579693,11886611.81,1689194,7.036854150559379
2016-10,Algarve,6123391.720000001,454922,13.460311262150435,1273256.78,167133,7.618224886766827
2016-11,Algarve,6177349.18,458909,13.46094580842825,1275472.55,167571,7.611535110490479
2017-01,Alentejo,7549559.67,625471,12.070199369754953,1958195.66,270062,7.250911494397583
2017-02,Alentejo,6751210.97,556158,12.13901619683615,1739550.55,238739,7.286411311097056
2017-03,Centro,43369941.82,3514776,12.339318869822714,10112118.79,1409827,7.172595495759408
2017-05,Norte,50782137.440000005,4316805,11.763824736118496,13179533.46,1868174,7.054767628711245
2017-05,Centro,41744514.75,3366804,12.398855041754732,9954642.47,1376330,7.232743942223159
2017-07,Algarve,6480493.149999986,486199,13.328890330913858,1391690.3099999984,182932,7.607691983906579
2017-09,Algarve,6170659.6900000125,461193,13.379777425069358,1336859.0399999984,174830,7.6466226620145195
2017-10,Algarve,6286081.399999982,473153,13.285515256164459,1344690.15,177477,7.576700924626852
2018-04,Centro,30771863.88,2449718,12.56139028247333,7386022.91,1015422,7.273845662197589
2018-04,Lisboa,57467485.52,4718989,12.177923178036652,14540537.84,1984422,7.3273415835946185
2018-05,Algarve,6479630.339999996,485021,13.35948410481195,1447863.7499999967,187580,7.718646710736735
2018-06,Alentejo,7333051.729999964,605121,12.118322996557653,2021779.6000000124,271917,7.4352820897553755
2018-06,Algarve,6435354.029999992,480041,13.405842480121473,1433978.3700000015,184936,7.7539168685383135
2018-07,Centro,42737460.78000049,3413469,12.52024283214539,10486911.41999997,1432240,7.3220350080991805
2018-08,Norte,48596292.780000046,4064948,11.954960501339757,12904670.960000055,1813194,7.1170933501875995
2018-08,Centro,40499342.72999986,3229775,12.539369686742843,9959246.049999993,1358965,7.32855228059589
2018-08,Lisboa,51534771.24000019,4160085,12.387913045046,13243237.919999955,1779901,7.440435125324361
2018-09,Centro,39564293.090000436,3151648,12.553525358796552,9729777.67000003,1319771,7.372322675676333
2018-09,Alentejo,6972680.189999972,569522,12.243039232900523,1944119.4799999886,257383,7.553410598213513
2018-10,Centro,33945399.839999974,2682745,12.6532338481667,8110391.970000016,1100938,7.366801736337574
2018-10,Lisboa,62512905.19999995,5104013,12.247795058515711,15790417.409999996,2126376,7.425976125577036
